claim_id,amount
1,716746.67
2,688449.95
3,1134980.42
4,2664327.37
5,1043387.25
6,1465470.08
7,862813.22
8,643357.76
9,1674613.59
10,706465.7
11,738105.34
12,631334.69
13,1340164.73
14,610117.17
15,814904.19
16,632058.93
17,828515.38
18,650652.62
19,989067.52
20,1361442.44
21,1424171.99
22,722584.94
23,702524.67
24,1692497.58
25,1338452.22
26,842259.64
27,752010.1
28,618015.17
29,619185.45
30,839666.74
31,780154.99
32,876451.65
33,910111.71
34,668023.73
35,640345.71
36,718836.01
37,732301.36
38,650230.78
39,877791.31
40,764446.22
41,977164.78
42,1821050.2
43,741851.46
44,631168.07
45,1247837.91
46,739344.96
47,824612.83
48,602788.64
49,4632349.97
50,1018353.54
51,605888.64
52,762856.5
53,984169.14
54,792827.49
55,611154.05
56,930077.55
57,801865.8
58,1081305.98
59,928772.61
60,637921.83
61,1092232.51
62,722975.38
63,633349.73
64,1293654.84
65,672906.5
66,1319771.84
67,948135.36
68,702768.83
69,611015.06
70,2842010.6
71,619940.31
72,603829.65
73,637205.04
74,1491010.4
75,701775.82
76,1135426.4
77,1028365.11
78,659698.0
79,823927.26
80,637011.63
81,1731762.06
82,1708935.03
83,635174.2
84,848359.52
85,1668120.8
86,765642.74
87,1480639.79
88,643371.03
89,703544.62
90,1090657.63
91,863824.87
92,814595.76
93,699710.01
94,833413.25
95,684937.74
96,735437.13
97,667976.04
98,1057265.11
99,760457.13
100,636102.38
101,642253.23
102,866342.13
103,940922.86
104,610508.9
105,658445.9
106,636859.28
107,831304.45
108,693443.56
109,634137.9
110,664653.42
111,959788.64
112,616833.38
113,686358.73
114,1206737.44
115,714893.53
116,783424.15
117,1811083.42
118,610982.68
119,843574.77
120,1017481.82
121,640146.33
122,609593.34
123,1465092.4
124,604419.34
125,612489.53
126,665256.86
127,1808510.04
128,613488.86
129,718663.8
130,748655.68
131,713207.6
132,769420.69
133,630264.62
134,880929.64
135,806398.11
136,600300.39
137,772710.05
138,652422.53
139,1136623.51
140,1772112.77
141,631655.74
142,905208.38
143,957350.63
144,1775213.11
145,731343.43
146,975897.23
147,738915.03
148,930845.93
149,620690.18
150,650308.67
151,1819340.64
152,628967.19
153,1087644.12
154,902033.69
155,1191543.48
156,1128274.07
157,781388.01
158,904815.74
159,652901.7
160,733001.48
161,651958.24
162,1123129.5
163,776834.96
164,839417.54
165,1676895.04
166,633592.42
167,704552.28
168,601787.01
169,685318.21
170,4712144.19
171,628300.97
172,616142.88
173,986938.76
174,2595712.95
175,800498.86
176,890832.95
177,715833.03
178,884516.67
179,709318.21
180,1295895.16
181,743178.74
182,2207009.96
183,743709.04
184,734365.54
185,1544294.25
186,685189.58
187,1022450.44
188,925730.76
189,671515.18
190,1286297.14
191,664066.57
192,623974.91
193,679582.13
194,652206.48
195,850292.21
196,608488.64
197,659242.1
198,1291449.79
199,770111.68
200,1298727.88
201,615193.0
202,724214.95
203,10000000.0
204,1275999.06
205,738798.72
206,604693.53
207,733189.81
208,644135.87
209,648602.54
210,608341.32
211,945333.62
212,847470.91
213,807151.25
214,625080.06
215,627075.64
216,682822.35
217,603425.01
218,1149923.37
219,1602496.02
220,888559.92
221,882834.07
222,985491.75
223,641223.98
224,1222425.67
225,1267587.81
226,614164.55
227,690979.05
228,712067.9
229,783466.93
230,813184.05
231,687194.46
232,968865.55
233,1834360.52
234,729976.07
235,1995217.05
236,1696970.01
237,1947386.1
238,1100592.89
239,633553.48
240,1132498.64
241,740087.75
242,937482.79
243,1474181.9
244,618920.3
245,753264.24
246,1391551.44
247,638851.13
248,923523.65
249,1084674.53
250,657350.96
251,697769.85
252,611323.42
253,766499.88
254,958196.08
255,1021010.6
256,1252742.41
257,1343847.61
258,602344.25
259,664883.15
260,1061109.77
261,704288.32
262,1133138.43
263,893022.95
264,641519.47
265,684920.6
266,704633.8
267,662406.18
268,794891.93
269,4626509.57
270,827154.45
271,742701.08
272,632865.83
273,658517.95
274,866224.86
275,979061.92
276,603331.65
277,801731.83
278,1043385.29
279,747671.03
280,779357.96
281,1112916.22
282,878890.3
283,766175.95
284,1494979.93
285,667635.66
286,741595.62
287,622387.77
288,647662.71
289,612207.24
290,838495.94
291,667153.07
292,712257.74
293,2411878.42
294,1411846.49
295,647877.14
296,1262867.54
297,658135.76
298,644363.38
299,713565.78
300,1019857.63
301,665288.86
302,621294.78
303,637181.96
304,773190.79
305,725808.61
306,713377.16
307,1055431.73
308,663793.73
309,646334.88
310,1148099.74
311,833123.08
312,2126595.6
313,600084.0
314,1152872.88
315,720523.96
316,704850.32
317,719948.37
318,666691.16
319,613744.04
320,729918.63
321,1179085.26
322,919154.03
323,2492008.45
324,661537.41
325,687433.12
326,613205.54
327,799016.64
328,1157115.3
329,680685.24
330,634744.76
331,750781.52
332,1071695.03
333,641980.57
334,1362656.23
335,957107.25
336,743331.71
337,1512502.88
338,1038084.82
339,1000028.99
340,2997712.75
341,807093.27
342,633710.88
343,601374.09
344,2380033.28
345,880107.19
346,709542.15
347,788198.88
348,1438261.73
349,1044241.38
350,689175.23
351,1324586.67
352,1032047.27
353,861196.92
354,2707556.08
355,1431205.5
356,671345.73
357,669381.76
358,805615.77
359,1596231.2
360,908787.9
361,981830.5
362,689237.7
363,712595.56
364,603226.16
365,1356079.54
366,703961.41
367,999172.44
368,1590358.13
369,676570.94
370,1236418.27
371,2307411.94
372,1742415.37
373,1092493.64
374,1182897.68
375,894561.02
376,827169.7
377,648034.46
378,609872.65
379,804807.55
380,1585144.57
381,871840.95
382,2120884.48
383,649453.58
384,676488.64
385,1522696.41
386,862365.5
387,982352.74
388,607230.15
389,2993808.49
390,1476582.62
391,4052459.34
392,695322.35
393,944721.29
394,1132335.19
395,822806.67
396,2480155.08
397,614639.56
398,772288.53
399,809171.34
400,642137.08
401,2378313.84
402,698864.13
403,799379.54
404,739574.51
405,1115622.25
406,703700.33
407,1050286.76
408,724847.23
409,1135818.23
410,887625.92
411,879593.0
412,641847.9
413,1072131.59
414,877942.92
415,2553849.97
416,631215.1
417,979457.2
418,1192463.97
419,646784.21
420,2881258.78
421,761127.97
422,648034.36
423,736442.54
424,717146.37
